stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,directiveIdeas
1,A,Enter in collected trot,X,"Halt, Salute",,Proceed in collected trot,
2,C,Track left,HP,Collected trot,PK,Collected trot,
3,,(Transitions at H & P),,,,,
4,KE,Shoulder-in right,E,Turn right,EB,Collected trot,
5,B,Turn left,BM,Shoulder-in left,MC,Collected trot,
6,C,"Halt, rein back 3 to 4 steps Proceed medium walk",,,,,
7,CS,Medium walk,,,,,
8,SF,"Change rein, free walk on a long rein",FA,Medium walk,,,
9,Before A,Shorten the stride in walk,AK,Collected canter right lead,,,
10,KS,Medium canter,SC,Collected canter,,,
11,C,Circle right 10m,CM,Collected canter,,,
12,ME,Change rein,EV,Counter canter,,,
13,V,Collected trot,KA,Medium walk,,,
14,Before A,Shorten the stride in walk,AF,Collected canter left lead,,,
15,FR,Medium canter,RC,Collected canter,,,
16,C,Circle left 10m,CH,Collected canter,,,
17,HB,Change rein,BP,Counter canter,,,
18,P,Collected trot,FA,Medium walk,,,
19,Before A,Shorten the stride in walk,AE,Collected canter right lead,,,
20,E,Collected trot,EHCM,Collected trot,,,
21,MV,Change rein medium trot (sitting or rising),VA,Collected trot,,,
22,,"(Transitions at M,and V)",,,,,
23,A,Down centreline,X,"Halt, Salute",,,
,,,,,,,
Second level test 1,,,,,,,
