stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,directiveIdeas
1,A,Enter in collected trot,X,"Halt, Salute",,Proceed in collected trot,
2,C,Track right,MB,Shoulder-in right,,,
3,BX,Half circle right 10m,XE,Half circle left 10m,,,
4,EK,Travers left,KF,Collected trot,,,
5,FB,Shoulder-in left,,,,,
6,BX,Half circle left 10m,XE,Half circle right 10m,,,
7,EH,Travers right,HM,Collected trot,,,
8,MV,"Change rein, medium trot (sitting or rising)",VKA,Collected trot,,,
9,,(Transitions at M & V),,,,,
10,A,"Halt, rein back 3 to 4 steps",,Proceed in Medium walk,,,
11,FS,Change rein in free walk on a long rein,SH,Medium walk,,,
12,H,Turn right,Between G&M,"Shorten stride, half turn on hindquarters right",,Proceed in medium walk,
13,Between G&H,"Shorten stride, half turn on hindquarters left",,Proceed in medium walk,M,Turn left,
14,,(Medium walk) SHG(M)G(H)GMC,,,,,
15,Before C,Shorten stride in walk,C,Collected canter left lead,CH,Collected canter,
16,HV,Medium canter,VKA,Collected canter,,,
17-19,AC,"Serpentine three equal loops width of arena, simple changes of lead over centreline",,,,,
17,,(Score for first simple change),,,,,
18,,(Score for second simple change),,,,,
19,,(Score for quality of serpentine),,,,,
20,HB,Change rein,BF,Counter canter,,,
21,F,Medium walk,Before A,Shorten the stride in walk,AK,Collected canter right lead,
22,KS,Medium canter,SM,Collected canter,,,
23,ME,Change rein,EK,Counter canter,,,
24,KA,Collected trot,,,,,
25,A,Down centreline,DI,Medium trot (sitting or rising),,,
26,IG,Collected trot,,,,,
27,G,"Halt, salute",,,,,
,,,,,,,
,,,,,,,
Second level test 2,,,,,,,
