stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,directiveIdeas
1,A,Enter in collected trot,X,"Halt, Salute",,Proceed in collected trot,
2,C,Track left,HXF,"Change rein, medium trot (sitting or rising)",FAK,Collected trot,
3,,(Transitions at H & F),,,,,
4,KE,Shoulder-in right,,,,,
5,E,Circle right 10m,,,,,
6,EH,Travers right,HM,Collected trot,,,
7,MXK,"Change rein, medium trot (sitting or rising)",KAF,Collected trot,,,
8,,(Transitions at M & K),,,,,
9,FB,Shoulder-in left,,,,,
10,B,Circle left 10m,,,,,
11,BM,Travers left,MC,Collected trot,,,
12,C,"Halt, rein back 3 to 4 steps Proceed in Medium walk",,,,,
13,H,Turn left,Between G& M,"Shorten the stride, half turn on hindquarters left Proceed medium walk",,,
14,Between G& H,"Shorten the stride, half turn on hindquarters right Proceed medium walk",M,Turn right,MR,Medium walk,
15,,(Medium walk) CHG(M)G(H)GMR,,,,,
16,RV,"Change rein, free walk on a long rein",VK,Medium walk,,,
17,Before K,Shorten the stride in walk,KF,Collected canter left lead,,,
18,FM,Medium canter,MC,Collected canter,,,
19,,(Transitions at F & M),,,,,
20,CA,"Serpentine three equal loops, width of the arena, no change of lead",AF,Collected canter,,,
21,FE,Change rein,L,Simple change,EHCM,Collected canter,
22,MF,Medium canter,FA,Collected canter,,,
23,,(Transitions at M & F),,,,,
24,AC,"Serpentine three equal loops, width of the arena, no change of lead",CM,Collected canter,,,
25,ME,Change rein,I,Simple change,EK,Collected canter,
26,KA,Collected trot,,,,,
27,A,Down centreline,X,"Halt, Salute",,,
,,,,,,,
,,,,,,,
Second level test 3,,,,,,,
