stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,directiveIdeas
1,A,Enter in working trot,X,"Halt, Salute",,Proceed in working trot,
2,C,Track right,MV,"Change rein, lengthen stride in trot",VK,Working trot,
3,KD,Half circle left 10m,DL,Working trot,,,
4,LM,Leg yield right,MH,Working trot,,,
5,HP,"Change rein, lengthen stride in trot",PF,Working trot,,,
6,FD,Half circle right 10m,DL,Working trot,,,
7,LH,Leg yield left,HC,Working trot,,,
8,CM,Medium walk,,,,,
9,MV,"Change rein, free walk on a long rein",VK,Medium walk,,,
10,KD,Working trot,A,Working canter left lead,AP,Working canter,
11,P,Circle left 15m,,,,,
12,PM,Lengthen stride in canter,,,,,
13,Between M&C,Develop working canter,CH,Working canter,,,
14,HXF,Change rein,XF,Working trot,,,
15,FD,Working canter right lead,FV,Working canter,,,
16,V,Circle right 15m,,,,,
17,VH,Lengthen stride in canter,,,,,
18,Between H&C,Develop working canter,CM,Working canter,,,
19,MV,Working trot,,,,,
20,B,"Circle right 20m rising trot, allowing the horse to stretch forward and downward while maintain contact",Before B,Shorten the reins,BA,Working trot,
21,A,Down centreline,X,"Halt, Salute",,,
,,,,,,,
First Level Test 2,,,,,,,
