stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,instructions/3/position,instructions/3/action
1,A,Enter in working trot,X,"Halt, Salute",,Proceed in working trot,,
2,C,Track left,HXF,"Change rein, Lengthen stride in trot",FV,Working trot,,
3,VI,Leg yield right,,,,,,
4,I ,Circle left 10m,I,Straight ahead,C,Track left,CS,Working trot
5,SL,Leg yield left,,,,,,
6,L,Circle right 10m,L,Straight ahead,A,Track right,AE,Working trot
7,E,"Circle right 20m rising trot, allowing the horse to stretch forward and downward while maintaining contact",Before E,Shorten the reins,EH,Working trot,,
8,H,Medium walk,HM,Medium walk,,,,
9,MV,Free walk on a long rein,VK,Medium walk,,,,
10,K,Working trot,AF,Working canter left lead,,,,
11,FXM,One loop maintaining left lead,MC,Working canter,,,,
12,C,Circle left 15m,CH,Working canter,,,,
13,HV,Lengthen stride in canter,,,,,,
14,VF,Working canter,,,,,,
15,FXH,Change rein,X,Change of rein through trot (3-4 steps),HM,,,
16,MXF,One loop maintaining the right lead,FA,Working canter,,,,
17,A,Circle right 15m,AK,Working canter,,,,
18,KS,Lengthen stride in canter,,,,,,
19,SC,Working canter,,,,,,
20,C,Working trot,CM,Working trot,,,,
21,MXK,Lengthen stride in trot,KA,Working trot,,,,
22,A,Down centreline,X,"Halt, Salute",,,,
,,,,,,,,
,,,,,,,,
First Level test 3,,,,,,,,
