stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,directiveIdeas
1,A,Enter in working trot,X,"Halt, Salute",,Proceed in working trot,
2,C,Track right,B,Circle right 20m,BK,Working trot,
3,KXM,Change rein,MC ,Working trot,,,
4,Between C& H,Working canter left lead,HE,Working canter,,,
5,E,Circle left 20m,,,,,
6,Between E& K,Working trot,KA,Working trot,,,
7,A,"Circle left 20m rising trot, allowing the horse to stretch forward and downward",Before A,Shorten the reins,AF,Working trot,
8,F,Medium walk,FE,"Change rein, medium walk",,,
9,EM,"Change rein, free walk on a long rein",MC,Medium walk,,,
10,C,Working trot,CE,Working trot,,,
11,E,Circle left 20m,EF,Working trot,,,
12,FXH,Change rein,HC,Working trot,,,
13,Between C& M,Working canter right lead,MB,Working canter,,,
14,B,Circle right 20m,,,,,
15,Between B &F,Working trot,FA,Working trot,,,
16,A,Down centreline,X,"Halt, Salute",,,
,,,,,,,
Training level test 2,,,,,,,
