stepNumber,instructions/0/position,instructions/0/action,instructions/1/position,instructions/1/action,instructions/2/position,instructions/2/action,directiveIdeas
1,A,Enter in working trot,X,"Halt, Salute",,Proceed in working trot,
2,C,Track left,HXF,Change rein,FA,Working trot,
3,AC,Serpentine 3 equal loops width of the arena,,,,,
4,Between C&M,Working canter right lead,MB,Working canter,,,
5,B,Circle right 20m,BA,Working canter,,,
6,A,Working trot,,,,,
7,Before K,Medium walk,KE,Medium walk,,,
8,EM,Change rein in free walk on a long rein,MC,Medium walk,,,
9,C,Working trot,,,,,
10,CA,Serpentine 3 equal loops width of the arena,,,,,
11,Between A& F,Working canter left lead,FB,Working canter,,,
12,B,Circle left 20m,BC,Working canter,,,
13,C,Working trot,CE,Working trot,,,
14,EM,"Circle left 20m rising trot, allowing the horse to stretch forward and downward while maintaining contact",Before E,Shorten the reins,EA,Working trot,
15,A,Down centreline,X,"Halt, Salute",,,
,,,,,,,
Training level test 3,,,,,,,
